ID	Sex	Measurement_number	Eye_colour	Hair_colour	Height	Length_of_right_underarm	Length_of_right_underarm_and_hand	Length_of_right_foot	Length_of_left_foot	Neck_circumference	Height_of_mother	Height_of_father	Comments
g1p1	female	1	blue	light	183.1	29.6	50.3	25.8	26.2	35.8	168	193	
g1p1	female	2	blue	light	183.2	29.8	49.4	25.7	25.8	34.9	168	193	
g1p1	female	3	blue	light	183	30.3	49.3	25.6	26.1	34.8	168	193	
g1p2	female	1	grey	light	159.9	24.1	40.9	22	22.5	31.7	160	180	
g1p2	female	2	grey	light	160.3	23.8	41.9	22.2	22.6	31.4	160	180	
g1p2	female	3	grey	light	160.3	24.3	41.4	22.4	22.7	31.3	160	180	
g2p1	male	1	brown	light	178.3	29.5	47.2	28.3	28.2	37.2	174	173	
g2p1	male	2	brown	light	179.1	29.5	47.4	28.4	28.1	37.2	174	173	
g2p1	male	3	brown	light	178.4	29.4	47.4	28	28.3	37.3	174	173	
g2p2	female	1	brown	dark	163.2	25.4	43.8	24	24.3	33.5	171	177	
g2p2	female	2	brown	dark	164	25.4	43.8	24.6	24.5	33.5	171	177	
g2p2	female	3	brown	dark	163.1	25.5	43.8	24.4	24.5	33.7	171	177	
gAp1	female	1	grey	dark	173.1	27.8	47.3	25.5	25.9	32.2	158	186	
gAp1	female	2	grey	dark	173.7	27.7	47.4	25.9	26.1	32.1	158	186	
gAp1	female	3	grey	dark	173.7	27.9	47.3	25.9	26	32.4	158	186	
gAp2	female	1	grey	light	166.5	26.3	44.2	24.9	24.7	37.5	162	176.5	
gAp2	female	2	grey	light	165.9	25.9	44.2	24.9	24.8	37.3	162	176.5	
gAp2	female	3	grey	light	166.3	26	43.8	24.8	24.6	37	162	176.5	
gAp3	female	1	blue	dark	163.3	24.8	43.8	24.2	24.2	31.5	168	176.5	
gAp3	female	2	blue	dark	163.2	24.6	44	24	24	31.4	168	176.5	
gAp3	female	3	blue	dark	163.4	24.6	43.9	23.9	24	31.2	168	176.5	
gBp1	female	1	blue	dark	169	27.5	44.5	25.5	25.4	32	164	184	
gBp1	female	2	blue	dark	168.9	27.4	44.7	25.5	25	32.1	164	184	
gBp1	female	3	blue	dark	168.5	27.5	44.7	25.5	25.1	32.2	164	184	
gBp2	male	1	blue	light	180.5	29	49.2	27.1	28.2	36.9	164	180	
gBp2	male	2	blue	light	180.6	29.2	48.9	27.3	28.4	37	164	180	
gBp2	male	3	blue	light	180.7	28.9	48.4	27.6	28.2	36.9	164	180	
gBp3	female	1	blue	light	177.9	25.5	42.6	25.5	25.8	34	173	185	
gBp3	female	2	blue	light	177.8	25.3	42.7	25.6	25.7	33.4	173	185	
gBp3	female	3	blue	light	177.5	25.2	42.8	25.6	25.8	32.6	173	185	
gCp1	female	1	brown	dark	170	24.8	44.5	23	23	31	162	172	
gCp1	female	2	brown	dark	171.3	28	44	23.5	23.5	30	162	172	
gCp1	female	3	brown	dark	171	27	43.6	22	23	23	162	172	
gCp2	male	1	blue	dark	187.5	31	48	25.5	25	38	165	190	
gCp2	male	2	green	dark	188	30.5	48.5	27	27	38	165	190	
gCp2	male	3	hazel	dark	188.3	31	49.2	28	28	35	165	190	
gCp3	female	1	blue	light	168	27	41.5	23.6	23.6	23.9	173	174	
gCp3	female	2	blue	light	168.9	26.5	41	24	24	43	173	174	
gCp3	female	3	blue	light	169	24.8	43.7	24	24	32	173	174	
gCp4	female	1	blue	dark	170	25.5	43.5	23.5	23.6	32	165	190	
gCp4	female	2	blue	dark	169	24.5	43.2	23.9	23	33	165	190	
gCp4	female	3	blue	dark	170	26	43.5	23.5	23.6	32	165	190	
gDp1	male	1	blue	dark	185	25.1	44.7	26.3	26.2	38	157	187	
gDp1	male	2	blue	dark	183	26	43	27	26	40	157	187	
gDp1	male	3	blue	dark	185.1	26.9	46.7	26.2	26.1	39.2	157	187	
gDp2	female	1	brown	dark	170	25.1	41.3	24.3	24.1	32	159	184	
gDp2	female	2	brown	dark	168.5	27.1	24.6	24	24.2	30.5	159	184	
gDp2	female	3	amber	dark	168	28	39.5	25	25	31	159	184	
gDp3	female	1	hazel	dark	165	26	39.3	22	23	28	169	175	
gDp3	female	2	hazel	dark	164.1	21.5	39	23	22.4	27.5	169	175	
gDp3	female	3	brown	dark	164.6	25.4	41.5	22.7	22.6	30.7	169	175	
